id,title,original_title,production_countries,overview,tagline,release_date,original_language,genres,runtime,budget,revenue,cast,vote_average,director,keywords
20187,Licencia para matar,The Eiger Sanction,['United States of America'],"Jonathan Hemlock es un profesor de historia del arte que, anteriormente, llevaba una peligrosa doble vida como asesino a sueldo para una organización secreta internacional. Sin embargo, ahora será chantajeado para llevar a cabo una última misión: la víctima será una de las tres personas que intentan la ascensión al Eiger, una peligrosa cumbre de los Alpes Suizos",SU LÍNEA DE VIDA: en manos del asesino al que persiguió.,1975-05-21,en,"Acción, Aventura, Drama",123,9000000,14200000,"['Clint Eastwood', 'George Kennedy', 'Vonetta McGee']",6.1,Clint Eastwood,"['art collector', 'assassin', 'based on novel or book', 'hitman', 'espionage', 'secret intelligence service', 'switzerland', 'mountain climbing', 'alps mountains', 'swiss alps', 'spy ring', 'rock climbing', 'college professor', 'spy thriller', 'american southwest', 'art collection', 'art historian', 'retired assassin', 'monument valley', 'zion national park']"
108282,Asesinato en el vuelo 502,Murder on Flight 502,['United States of America'],"En la sala VIP del aeropuerto, es encontrada una carta de advertencia que avisa de que se van a producir una serie de crímenes en el vuelo 502. Esta carta, aparece un día ante de tiempo. No obstante, al día siguiente, el vuelo despega del aeropuerto con todos sus pasajeros a bordo, sin saber que, entre ellos, se encuentra un maníaco homicida que ya ha cometido un crimen y que se dispone a volver a asesinar.",,1975-11-21,en,"Drama, Acción, Suspense, Misterio, Película de TV",90,0,0,"['Ralph Bellamy', 'Polly Bergen', 'Theodore Bikel']",5.719,George McCowan,"['airplane', 'murder mystery']"
81467,Laura's Toys,Laura's Toys,['United States of America'],"El arqueólogo Walter y su esposa Laura están trabajando en una excavación en una pequeña isla en la costa de Suecia. Un día, Laura descubre que Walter lo intenta con su sexy asistente, Anna. Laura llama a Hanni, su vieja amiga y antigua amante lesbiana, para que la ayude a vengarse de Walter al hacer que ella y Hanni seduzcan a Anna.",,1975-01-01,en,Drama,103,0,0,"['Mary Mendum', 'Eric Edwards', 'Cathja Graff']",4.7,Joseph W. Sarno,"['adultery', 'seduction', 'sexual tension', 'sexploitation', 'attraction', 'lesbian sex', 'voyeur', 'erotic movie', 'erotic fantasy']"
95555,The Master Gunfighter,The Master Gunfighter,['United States of America'],,,1975-10-03,en,"Drama, Western, Crimen",110,3500000,0,"['Tom Laughlin', ""Ron O'Neal"", 'Lincoln Kilpatrick']",4.5,Frank Laughlin,"['shootout', 'samurai sword', 'wild west', 'small western town', 'outlaw gang']"
796312,重建精武門,重建精武門,"['Hong Kong', 'Taiwan']",,,1975-01-01,zh,"Acción, Aventura",95,0,0,"['Chia Ling', 'Charles Heung', 'Yang Shu-sheng']",0.0,Wu Min-hsiung,"['rebellion', 'martial arts', 'revenge', 'taiwanese', 'intrigue', 'heroine', 'female hero', 'deathbed']"
1013230,Switch [Pilot],Switch [Pilot],['United States of America'],,,1975-03-21,en,"Acción, Crimen, Drama, Película de TV",90,0,0,"['Eddie Albert', 'Robert Wagner', 'Charles Durning']",0.0,Allen Baron,[]
32069,Insertos,Inserts,['United Kingdom'],"El que fuera gran director de películas del cine mudo, Boy Wonder, ahora se limita a hacer películas pornográficas mudas en su decadente mansión. Un día, Big Mac, el productor de sus filmes y su novia Cathy van a visitarle y, de paso, a proveer de heroína a la actriz protagonista. (FILMAFFINITY)",,1975-02-20,en,"Drama, Comedia",117,0,0,"['Richard Dreyfuss', 'Jessica Harper', 'Bob Hoskins']",5.7,John Byrum,"['necrophilia', 'film in film', 'agoraphobia', 'hollywood', 'porn director', 'alcoholic', 'porn actress', 'voyeur', 'exhibitionist', '1930s']"
252962,Starsky & Hutch,Starsky & Hutch,[],,,1975-05-01,en,"Acción, Crimen, Drama, Película de TV",70,0,0,"['Paul Michael Glaser', 'David Soul', 'Richard Ward']",6.7,Barry Shear,"['buddy cop', 'tv pilot']"
38090,Las carreras de un banquero,La Course à l'échalote,"['France', 'Germany']","Jeanette (Jane Birkin), una peluquera inglesa en París, está cansada y aburrida de su relación con Pierre Vidal (Pierre Richard), un banquero que trabaja frente a la peluquería donde ella trabaja, y está dispuesta a dejarle ya mismo. El director del banco se va a tomar una semana libre y Vidal le sustituirá al frente de la sucursal. Desde que asume la dirección temporal una serie de desgracias e infortunios le colocan en el punto de mira del Comisario de la zona, que sospecha que Vidal pueda estar relacionado con el misterioso robo de las cofres privados del banco hace un año. Precisamente Vidal es testigo del robo de uno de los cofres, como el banco no puede permitirse otro robo porque si no tendría que cerrar, Vidal, teniendo pruebas de donde puede estar la ladrona, va en su busca para recuperar lo robado en lugar de avisar a la policía. Lo que no sabe es que Jeanette y el Comisario también irán.",,1975-10-08,fr,Comedia,95,0,0,"['Pierre Richard', 'Jane Birkin', 'Michel Aumont']",6.0,Claude Zidi,[]
143473,東京エマニエル夫人,東京エマニエル夫人,['Japan'],,,1975-07-01,ja,Drama,70,0,0,"['Kumi Taguchi', 'Fujio Murakami', 'Mitsuko Aoi']",1.5,Akira Kato,"['softcore', 'pink film']"
